message,label
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Claim your $50 gift card now!,1
Congratulations! You've won a $100 gift card.,1
Get a free gift card with your next purchase.,1
Earn a gift card by taking our survey.,1
Use this code to redeem your $25 gift card.,1
Receive a gift card as a thank-you for your feedback.,1
Special offer: Free gift card for first-time users.,1
Complete this task and earn a $10 gift card.,1
Enjoy a $20 gift card on us!,1
Limited time only: Gift card with every purchase.,1
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
Have a nice day!,0
Your order has been shipped.,0
Don't forget to submit your report by Monday.,0
Thank you for your feedback!,0
Reminder: Meeting is scheduled for tomorrow.,0
Your account has been updated successfully.,0
Enjoy our special discounts on selected items.,0
Congratulations on completing the program!,0
We hope you enjoy your purchase.,0
Please contact customer support if you need assistance.,0
