text,label
Final reminder: This is your last chance to respond.,1
Final notice: Complete the survey within 47 hours 24 hours.,1
Urgent: Action required critically to avoid penalty.,1
Act now to secure your spot; only limited spaces available.,1
Urgent: Action required critically to avoid penalty.,1
Act now to secure your spot; only limited spaces available.,1
Urgent: Action required immediately to avoid penalty.,1
Your account will be suspended critically if you do not get back.,1
Respond within 44 hours 24 hours to prevent account deactivation.,1
Your account will be suspended immediately if you do not get back.,1
Please submit the payment as soon as possible to avoid late fees.,1
Respond within 15 hours 24 hours to prevent account deactivation.,1
Critical alert: Unauthorized login attempt detected.,1
Act now to secure your spot; only limited spaces available.,1
Respond within 37 hours 24 hours to prevent account deactivation.,1
Final reminder: This is your last chance to reply.,1
Final notice: Complete the survey within 17 hours 24 hours.,1
Critical alert: Unauthorized login attempt detected.,1
Final notice: Complete the survey within 39 hours 24 hours.,1
Respond within 35 hours 24 hours to prevent account deactivation.,1
Critical alert: Unauthorized login attempt detected.,1
Act now to secure your spot; only limited spaces available.,1
Final notice: Complete the survey within 33 hours 24 hours.,1
Final reminder: This is your last chance to get back.,1
Respond within 35 hours 24 hours to prevent account deactivation.,1
Immediate action needed: Update your information.,1
Immediate action required to verify your account details.,1
Final reminder: This is your last chance to get back.,1
Critical alert: Unauthorized login attempt detected.,1
Immediate action required to verify your account details.,1
Urgent: Action required immediately to avoid penalty.,1
Critical alert: Unauthorized login attempt detected.,1
Immediate action required to verify your account details.,1
Respond within 13 hours 24 hours to prevent account deactivation.,1
Immediate action needed: Update your information.,1
Urgent: Action required immediately to avoid penalty.,1
Respond within 44 hours 24 hours to prevent account deactivation.,1
Please submit the payment as soon as possible to avoid late fees.,1
Respond within 21 hours 24 hours to prevent account deactivation.,1
Critical alert: Unauthorized login attempt detected.,1
Urgent: Action required immediately to avoid penalty.,1
Please submit the payment as soon as possible to avoid late fees.,1
Your account will be suspended urgently if you do not reply.,1
Your account will be suspended immediately if you do not respond.,1
Final reminder: This is your last chance to reply.,1
Final reminder: This is your last chance to respond.,1
Final notice: Complete the survey within 31 hours 24 hours.,1
Respond within 19 hours 24 hours to prevent account deactivation.,1
Act now to secure your spot; only limited spaces available.,1
Respond within 27 hours 24 hours to prevent account deactivation.,1
Act now to secure your spot; only limited spaces available.,1
Final reminder: This is your last chance to respond.,1
Your account will be suspended critically if you do not respond.,1
Please submit the payment as soon as possible to avoid late fees.,1
Final notice: Complete the survey within 26 hours 24 hours.,1
Urgent: Action required critically to avoid penalty.,1
Final reminder: This is your last chance to get back.,1
Final notice: Complete the survey within 12 hours 24 hours.,1
Respond within 37 hours 24 hours to prevent account deactivation.,1
Your account will be suspended urgently if you do not get back.,1
Critical alert: Unauthorized login attempt detected.,1
Your account will be suspended immediately if you do not reply.,1
Your account will be suspended immediately if you do not reply.,1
Please submit the payment as soon as possible to avoid late fees.,1
Please submit the payment as soon as possible to avoid late fees.,1
Your account will be suspended critically if you do not respond.,1
Critical alert: Unauthorized login attempt detected.,1
Immediate action required to verify your account details.,1
Urgent: Action required urgently to avoid penalty.,1
Critical alert: Unauthorized login attempt detected.,1
Critical alert: Unauthorized login attempt detected.,1
Please submit the payment as soon as possible to avoid late fees.,1
Urgent: Action required urgently to avoid penalty.,1
Final notice: Complete the survey within 39 hours 24 hours.,1
Immediate action needed: Update your information.,1
Please submit the payment as soon as possible to avoid late fees.,1
Immediate action needed: Update your information.,1
Critical alert: Unauthorized login attempt detected.,1
Immediate action required to verify your account details.,1
Your account will be suspended immediately if you do not reply.,1
Final reminder: This is your last chance to respond.,1
Your account will be suspended critically if you do not reply.,1
Act now to secure your spot; only limited spaces available.,1
Critical alert: Unauthorized login attempt detected.,1
Final reminder: This is your last chance to reply.,1
Respond within 45 hours 24 hours to prevent account deactivation.,1
Please submit the payment as soon as possible to avoid late fees.,1
Final notice: Complete the survey within 20 hours 24 hours.,1
Urgent: Action required critically to avoid penalty.,1
Urgent: Action required immediately to avoid penalty.,1
Final reminder: This is your last chance to get back.,1
Critical alert: Unauthorized login attempt detected.,1
Final reminder: This is your last chance to get back.,1
Act now to secure your spot; only limited spaces available.,1
Immediate action required to verify your account details.,1
Your account will be suspended immediately if you do not reply.,1
Please submit the payment as soon as possible to avoid late fees.,1
Your account will be suspended immediately if you do not reply.,1
Final reminder: This is your last chance to respond.,1
Act now to secure your spot; only limited spaces available.,1
Immediate action required to verify your account details.,1
Your account will be suspended urgently if you do not get back.,1
Immediate action required to verify your account details.,1
Immediate action required to verify your account details.,1
Final notice: Complete the survey within 40 hours 24 hours.,1
Act now to secure your spot; only limited spaces available.,1
Respond within 23 hours 24 hours to prevent account deactivation.,1
Respond within 45 hours 24 hours to prevent account deactivation.,1
Please submit the payment as soon as possible to avoid late fees.,1
Immediate action required to verify your account details.,1
Immediate action required to verify your account details.,1
Immediate action needed: Update your information.,1
Critical alert: Unauthorized login attempt detected.,1
Final notice: Complete the survey within 19 hours 24 hours.,1
Your account will be suspended urgently if you do not respond.,1
Act now to secure your spot; only limited spaces available.,1
Immediate action required to verify your account details.,1
Final reminder: This is your last chance to get back.,1
Immediate action needed: Update your information.,1
Urgent: Action required immediately to avoid penalty.,1
Please submit the payment as soon as possible to avoid late fees.,1
